severity,beta_bias_median,gamma_bias_median,R0_bias_median,beta_empirical_90,gamma_empirical_90,R0_empirical_90,peak_height_empirical_90,cumulative_infected_empirical_90,early_growth_slope_empirical_90
mild,0.002982967872278526,0.007938544334508515,-0.114472072675006,0.96,0.83,0.88,0.97,1.0,0.95
medium,0.014882521476412867,0.019007993647440657,-0.2583745107833427,0.86,0.57,0.68,0.89,1.0,0.94
strong,0.03391247830243862,0.03701893102999255,-0.46710995603282457,0.66,0.48,0.57,0.78,0.97,0.95
