true_R0_group,n_cases,true_beta_mean,true_gamma_mean,true_R0_mean,beta_err_median_mean,gamma_err_median_mean,R0_err_median_mean,beta_covered90_rate,gamma_covered90_rate,R0_covered90_rate
low,102,0.3372747052918661,0.35596548681447954,0.972690172766977,-0.02646091732389336,4.6629278005383115e-05,-0.010730738587595172,0.9313725490196079,0.8823529411764706,0.9705882352941176
mid,99,0.6723061751620428,0.3250612516859882,2.1257644046748183,0.021827861753057214,0.03206940442384354,-0.13471514854357955,0.7474747474747475,0.5454545454545454,0.5656565656565656
high,99,0.7184729695752884,0.1516194636817594,5.987203462009919,0.014031776004189353,0.018172332194220205,-0.679791682861721,0.8080808080808081,0.47474747474747475,0.5454545454545454
