severity,true_R0_group,n_cases,gamma_err_median_mean,R0_err_median_mean,gamma_covered90_rate,R0_covered90_rate
mild,low,34,-0.008967107305894523,0.01535420938129316,0.9117647058823529,0.9705882352941176
mild,mid,33,0.011612097946887789,-0.06852578365745636,0.7575757575757576,0.7575757575757576
mild,high,33,0.004044733192634085,-0.2436288028643978,0.8484848484848485,0.9090909090909091
medium,low,34,0.0007278151013847263,-0.009873603656311755,0.8823529411764706,0.9705882352941176
medium,mid,33,0.029298980276190968,-0.13072054589191448,0.48484848484848486,0.5151515151515151
medium,high,33,0.01461000403230494,-0.618422212819363,0.3333333333333333,0.42424242424242425
strong,low,34,0.008379180038525945,-0.03767282148776692,0.8529411764705882,0.9705882352941176
strong,mid,33,0.055297135048451865,-0.2048991160813678,0.3939393939393939,0.42424242424242425
strong,high,33,0.035862259357721596,-1.1773240329014019,0.24242424242424243,0.30303030303030304
