true_gamma_group,n_cases,true_beta_mean,true_gamma_mean,true_R0_mean,beta_err_median_mean,gamma_err_median_mean,R0_err_median_mean,beta_covered90_rate,gamma_covered90_rate,R0_covered90_rate
low,102,0.5659417799854392,0.12265599788043896,5.548097541478498,0.02050271321528263,0.032152914040270736,-0.6813008184721004,0.7156862745098039,0.4117647058823529,0.49019607843137253
mid,99,0.5571771694756475,0.29092414138874123,1.980582983309129,0.020197449932752604,0.03914291924056292,-0.09847208819077717,0.8282828282828283,0.6565656565656566,0.7474747474747475
high,99,0.598005595274366,0.42613604742619976,1.4183288065213149,-0.032724583034051,-0.02198038510483318,-0.025144357878972536,0.9494949494949495,0.8484848484848485,0.8585858585858586
