true_beta_group,n_cases,true_beta_mean,true_gamma_mean,true_R0_mean,beta_err_median_mean,gamma_err_median_mean,R0_err_median_mean,beta_covered90_rate,gamma_covered90_rate,R0_covered90_rate
low,102,0.2800703363694706,0.276992299407047,1.489820507397865,-0.005002695347509667,0.006866290543090239,-0.08181243062951771,0.8431372549019608,0.7352941176470589,0.8235294117647058
mid,99,0.591722335580198,0.24811819279302236,3.7549238564268026,0.0015942480081296334,0.024855540952669123,-0.487001322605564,0.7676767676767676,0.4444444444444444,0.5353535353535354
high,99,0.8579946438044499,0.30992883687329215,3.8252430594261115,0.012156918621933731,0.018359877998337496,-0.25426982608987697,0.8787878787878788,0.7272727272727273,0.7272727272727273
