quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.047544603121058814,0.041413966777221194,0.04924413829350528,0.07671260780451838,0.8176410149592674,0.050040125972910875
gamma,0.05201220079630513,0.057756700995534704,0.07141949600972022,0.11338709325682993,0.4434777369828256,0.0566319413684155
R0,0.06640626988719739,0.04749487082592878,0.1677401966644392,0.25382532629006854,0.9721746353143293,0.2886837484863874
