quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.45,-0.04999999999999999,0.9,0.73,-0.17000000000000004,0.06993589482938704,0.1619725307314035
gamma,0.5,0.39,-0.10999999999999999,0.9,0.84,-0.06000000000000005,0.08330218718182066,0.1819813896764908
R0,0.5,0.64,0.14,0.9,1.0,0.09999999999999998,0.349545243681959,0.9440931342159309
