case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
0,peak_time,46.0,24.52,23.0,15.732922439421369,11.0,40.0,1.0,48.0,29.0,47.0,0.0,1.0,-21.48,-23.0,23.0,529.0,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05
0,peak_height,0.06404239684343338,0.06233627088367939,0.05212088115513325,0.03520107833762258,0.04224956873804331,0.06274519674479961,0.03536527585238218,0.12714896276593204,0.020495628006756306,0.09178368691354986,0.0,1.0,-0.0017061259597539874,-0.011921515688300133,0.011921515688300133,0.0001421225363063862,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05
0,cumulative_infected,0.624589653678413,0.858467526632894,0.5179912427556701,0.8889260882815783,0.42539591511376784,0.8594443151087034,0.3447828592266887,2.5769796752894765,0.4340483999949356,2.2321968160627876,1.0,1.0,0.23387787295448104,-0.10659841092274291,0.10659841092274291,0.011363221211253955,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05
0,early_growth_slope,-0.0026094717073387313,-0.0007720275819701235,-0.000702107613462776,0.0022284122271716174,-0.002560479267101201,0.0009219274729513837,-0.00445678822316473,0.002491907815835604,0.0034824067400525847,0.006948696039000335,0.0,1.0,0.001837444125368608,0.0019073640938759553,0.0019073640938759553,3.638037786607244e-06,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05
1,peak_time,33.0,34.44,34.5,3.9499904104218073,33.0,36.25,30.0,39.0,3.25,9.0,1.0,1.0,1.4399999999999977,1.5,1.5,2.25,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,full_curve,50,0.0030916497466350777
1,peak_height,0.3261184096336365,0.38639972675591705,0.3991967886686325,0.05930264271207499,0.3560922294855118,0.42802807688713074,0.2972049549221992,0.4456168159842491,0.07193584740161896,0.1484118610620499,0.0,1.0,0.060281317122280575,0.07307837903499603,0.07307837903499603,0.005340449482382548,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,full_curve,50,0.0030916497466350777
1,cumulative_infected,8.04350513475947,10.122391295552443,10.507517289952375,1.6072349381358344,9.354409895837307,11.150223712669685,7.495378406741656,11.768124465318396,1.7958138168323785,4.27274605857674,0.0,1.0,2.0788861607929725,2.464012155192904,2.464012155192904,6.07135590093838,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,full_curve,50,0.0030916497466350777
1,early_growth_slope,0.004415745220501863,0.002766931795127415,0.0027852281373703758,0.002785049699220831,0.00046098334877613323,0.004598173918479699,-0.0015031793814462902,0.007469348391723108,0.004137190569703566,0.008972527773169398,1.0,1.0,-0.0016488134253744477,-0.001630517083131487,0.001630517083131487,2.6585859583836127e-06,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.2311891039732281,0.07996155910185804,2.8912530792293674,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,full_curve,50,0.0030916497466350777
2,peak_time,4.0,20.35,19.0,15.251014207043227,7.75,32.0,0.0,47.0,24.25,47.0,0.0,1.0,16.35,15.0,15.0,225.0,0.19046589408768788,0.1889976721399541,1.007768465775846,0.19046589408768788,0.1889976721399541,1.007768465775846,0.13019504140257454,0.13768807731046862,0.3246057007403095,0.3246057007403095,medium,full_curve,50,1.0837778057295308e-06
2,peak_height,0.06489454209804535,0.053238841593265536,0.048426149412989616,0.02273206351704985,0.0407731719315052,0.05491999350488186,0.035053208097815515,0.09269546456634996,0.014146821573376656,0.05764225646853444,0.0,1.0,-0.011655700504779813,-0.016468392685055733,0.016468392685055733,0.00027120795762919717,0.19046589408768788,0.1889976721399541,1.007768465775846,0.19046589408768788,0.1889976721399541,1.007768465775846,0.13019504140257454,0.13768807731046862,0.3246057007403095,0.3246057007403095,medium,full_curve,50,1.0837778057295308e-06
