case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,peak_time,18.0,18.84,17.0,13.48603467714403,7.0,27.5,0.0,43.099999999999994,20.5,43.099999999999994,1.0,1.0,0.8399999999999999,-1.0,1.0,1.0,0.06588378066768495,0.22364714789828816,0.29458806556141753,0.06588378066768495,0.09991402699405277,0.29458806556141753,0.4467484961600869,time_avg,0.1072049143651905,0.22364714789828816,15,0.44937047572882854,strong
0,peak_height,0.04954363778233528,0.04947280954569578,0.04776511527597904,0.01338665075793863,0.04188914969563484,0.0536120617762208,0.03405218217521906,0.07081730738282203,0.011722912080585957,0.03676512520760297,1.0,1.0,-7.082823663950161e-05,-0.0017785225063562393,0.0017785225063562393,3.1631423056156793e-06,0.06588378066768495,0.22364714789828816,0.29458806556141753,0.06588378066768495,0.09991402699405277,0.29458806556141753,0.4467484961600869,time_avg,0.1072049143651905,0.22364714789828816,15,0.44937047572882854,strong
0,cumulative_infected,0.4278440270572901,0.5211286223313846,0.4798457628057804,0.20703806052370327,0.4144942367565818,0.5774184279798646,0.3084795835784462,0.8387385857320621,0.16292419122328283,0.5302590021536159,1.0,1.0,0.0932845952740945,0.05200173574849032,0.05200173574849032,0.002704180520855816,0.06588378066768495,0.22364714789828816,0.29458806556141753,0.06588378066768495,0.09991402699405277,0.29458806556141753,0.4467484961600869,time_avg,0.1072049143651905,0.22364714789828816,15,0.44937047572882854,strong
0,early_growth_slope,-0.0022423823524843002,-0.00023385460145315472,-0.0005559266095847954,0.0019577054123017467,-0.0015814181408911393,0.0007866794979972406,-0.0027866555330720486,0.0033977799692019315,0.00236809763888838,0.00618443550227398,0.0,1.0,0.0020085277510311457,0.0016864557428995048,0.0016864557428995048,2.8441329727587206e-06,0.06588378066768495,0.22364714789828816,0.29458806556141753,0.06588378066768495,0.09991402699405277,0.29458806556141753,0.4467484961600869,time_avg,0.1072049143651905,0.22364714789828816,15,0.44937047572882854,strong
1,peak_time,14.0,14.3,14.0,1.2268049987877068,13.0,15.0,12.95,16.0,2.0,3.0500000000000007,1.0,1.0,0.3000000000000007,0.0,0.0,0.0,0.4600441325893398,0.19935750869708702,2.307633836297343,0.4600441325893398,0.5461426888525939,2.307633836297343,2.739514013903676,time_avg,0.5704258660249205,0.19935750869708702,27,0.5793313305556413,strong
1,peak_height,0.30441567301750183,0.28744474679231646,0.285560205578804,0.018955695406732913,0.2764807865023613,0.2991700544953346,0.25377280116081236,0.31686053723096846,0.022689267992973328,0.06308773607015611,0.0,1.0,-0.016970926225185368,-0.018855467438697815,0.018855467438697815,0.00035552865233179354,0.4600441325893398,0.19935750869708702,2.307633836297343,0.4600441325893398,0.5461426888525939,2.307633836297343,2.739514013903676,time_avg,0.5704258660249205,0.19935750869708702,27,0.5793313305556413,strong
1,cumulative_infected,4.699758626520634,4.497864431363887,4.486406244919635,0.19356878231962416,4.430271383127547,4.622031228500418,4.212073088111356,4.83437218098552,0.1917598453728715,0.6222990928741643,0.0,1.0,-0.201894195156747,-0.21335238160099834,0.21335238160099834,0.045519238734818016,0.4600441325893398,0.19935750869708702,2.307633836297343,0.4600441325893398,0.5461426888525939,2.307633836297343,2.739514013903676,time_avg,0.5704258660249205,0.19935750869708702,27,0.5793313305556413,strong
1,early_growth_slope,0.0168009168424067,0.012272617679738598,0.01256001818200318,0.0033218988737736942,0.009972583189318398,0.014751195214644427,0.007090957810924874,0.01733335071697919,0.004778612025326029,0.010242392906054314,0.0,1.0,-0.004528299162668101,-0.004240898660403518,0.004240898660403518,1.7985221447812356e-05,0.4600441325893398,0.19935750869708702,2.307633836297343,0.4600441325893398,0.5461426888525939,2.307633836297343,2.739514013903676,time_avg,0.5704258660249205,0.19935750869708702,27,0.5793313305556413,strong
2,peak_time,15.0,20.94,21.0,14.636898164528844,7.75,33.0,1.9500000000000002,44.0,25.25,42.05,1.0,1.0,5.940000000000001,6.0,6.0,36.0,0.09855350200798643,0.4600703231768622,0.2142139952159011,0.09855350200798643,0.1325531756888761,0.2142139952159011,0.28811503157511736,time_avg,0.13256470427688344,0.4600703231768622,26,0.46549368642244704,strong
2,peak_height,0.037634458392858505,0.049573380257934334,0.04844795726239681,0.009450542362923895,0.04339448269456625,0.056703973561525345,0.03703288566321135,0.06339199915528297,0.013309490866959095,0.026359113492071623,0.0,1.0,0.011938921865075829,0.010813498869538307,0.010813498869538307,0.00011693175780150625,0.09855350200798643,0.4600703231768622,0.2142139952159011,0.09855350200798643,0.1325531756888761,0.2142139952159011,0.28811503157511736,time_avg,0.13256470427688344,0.4600703231768622,26,0.46549368642244704,strong
