quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.11,-0.39,0.9,0.23,-0.67,0.08026590721287094,0.18699532639156374
gamma,0.5,0.39,-0.10999999999999999,0.9,0.73,-0.17000000000000004,0.06109686591475669,0.1371582404885521
R0,0.5,0.07,-0.43,0.9,0.19,-0.71,0.2885687272883065,0.7138329663540806
