quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,-0.010638668480197778,-0.01884858715706433,0.040040981422139466,0.0669560574573615,0.9687082727838775,0.05331595589775988
gamma,-0.004166336516633426,-0.0003339565099069751,0.0369913753238243,0.07021194611960459,0.8458031535895448,0.04354811504931562
R0,-0.039502785489681086,-0.05352019459105449,0.142752525797476,0.19841715772591315,0.9978466195077004,0.2525334946510302
