train_seed,beta_corr,beta_mae,beta_emp50,beta_emp90,gamma_corr,gamma_mae,gamma_emp50,gamma_emp90,R0_corr,R0_mae,R0_emp50,R0_emp90
11,0.9689898366633292,0.042824484793409015,0.41,0.85,0.8653829842372104,0.03446587902234486,0.57,0.88,0.9982811139438514,0.20550395265716928,0.49,0.94
22,0.9705451875259965,0.035717258928943466,0.56,0.9,0.8578394284659742,0.037016518399701034,0.29,0.74,0.9980943678114392,0.21884341687351758,0.35,0.77
42,0.969158432070935,0.03996815658149126,0.53,0.89,0.8428502677640737,0.03739361519789074,0.54,0.9,0.997872795730759,0.1414359502489355,0.6,0.96
