bin_variable,bin,n_cases,bin_left,bin_right,bin_center,mean_true_gamma,mean_true_beta,mean_true_R0,gamma_bias_mean_est,gamma_bias_median_est,gamma_MAE_median_est,gamma_RMSE_median_est,gamma_empirical_50,gamma_diff_50,gamma_ci95_50_low,gamma_ci95_50_high,gamma_empirical_90,gamma_diff_90,gamma_ci95_90_low,gamma_ci95_90_high,gamma_avg_post_std,gamma_avg_width50,gamma_avg_width90
true_gamma,"(0.050499999999999996, 0.125]",25,0.050499999999999996,0.125,0.08775,0.0948400199358503,0.49822345254769523,5.594748366480403,0.01986389578506993,0.02034673415925067,0.028550140310934835,0.07730589495520326,0.56,0.06000000000000005,0.3706733186979878,0.7333436111893266,0.88,-0.020000000000000018,0.7004420607907267,0.9583318284955964,0.01731487256372498,0.024355944227407517,0.05478933852521295
true_gamma,"(0.125, 0.234]",25,0.125,0.234,0.1795,0.19147126339628462,0.5559461390905086,3.044806871896234,0.022094891496483547,0.02545364078973042,0.03074622341341904,0.06057192989684355,0.6,0.09999999999999998,0.40739457358967,0.7659669762225203,0.92,0.020000000000000018,0.7503389104960468,0.9777795987151524,0.030804998003588425,0.04823760515917293,0.09723189040935751
true_gamma,"(0.234, 0.358]",25,0.234,0.358,0.296,0.30331030111298446,0.54132193645857,1.8057792719734906,0.003414950108462049,0.004291928749625045,0.02782714622837255,0.04951939684863565,0.48,-0.020000000000000018,0.30031285954112974,0.6650148304964322,0.96,0.05999999999999994,0.8045593626380625,0.9929037664980127,0.04764566043703732,0.07486357590429345,0.1511224405100039
true_gamma,"(0.358, 0.5]",25,0.358,0.5,0.429,0.4312166892352336,0.4937837827595224,1.1641737474211482,-0.062039083456549224,-0.05142812973823403,0.06084199134257081,0.08730142473696126,0.52,0.020000000000000018,0.3349851695035678,0.6996871404588704,0.88,-0.020000000000000018,0.7004420607907267,0.9583318284955964,0.07842692919291178,0.1266287411828101,0.24356560795188845
