case_id,true_beta,true_gamma,true_R0,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
10,0.6356625754365786,0.3102292114731212,2.0490094160319052,0.6462753158258813,0.6463375629408086,0.019022789498193745,0.6334463385326703,0.6593341345267133,0.6146790038731306,0.6769275048380864,0.025887795994043006,0.06224850096495582,0.3175548726271114,0.3175670665363979,0.012470688820161412,0.30902981115665,0.3256384476000423,0.29754465774141825,0.3379896215179362,0.016608636443392277,0.04044496377651796,2.036996633094152,2.0345427836005268,0.06867916287106744,1.9914581330743713,2.080382472119883,1.9308006675692224,2.1541249570139676,0.08892433904551167,0.22332428944474514,1.0,1.0,0.01061274038930271,0.010674987504230016,0.010674987504230016,0.00011395535821546698,1.0,1.0,0.007325661153990193,0.007337855063276666,0.007337855063276666,5.3844116929655e-05,1.0,1.0,-0.012012782937753208,-0.014466632431378468,0.014466632431378468,0.00020928345390461127
11,0.24614667657025313,0.11540148099097225,2.1329594252738313,0.22954273930529917,0.2290563569452382,0.01091692918194159,0.22238345261912057,0.2364600404950721,0.21239851559267836,0.2479736570470422,0.014076587875951535,0.03557514145436383,0.09815088541782722,0.09710031838840333,0.010536986742468508,0.0907881060946836,0.10465493841710344,0.0826151241719458,0.11703959923535318,0.013866832322419836,0.03442447506340737,2.3608135928369447,2.358739502461214,0.2305204811703563,2.2168694104886817,2.52355941118024,1.9746338726377473,2.7138816972358315,0.3066900006915585,0.7392478245980842,0.0,1.0,-0.01660393726495396,-0.01709031962501492,0.01709031962501492,0.00029207902488517014,0.0,1.0,-0.017250595573145025,-0.01830116260256892,0.01830116260256892,0.00033493255260566725,0.0,1.0,0.22785416756311339,0.22578007718738258,0.22578007718738258,0.05097664325474043
12,0.8105817407571343,0.107957928598429,7.508311351288097,0.802992822289562,0.8050103459462628,0.027872737864998207,0.7852511047456703,0.82226937481008,0.7547470588225782,0.8466141745624154,0.03701827006440972,0.09186711573983719,0.11038848236457252,0.1100509993088401,0.005529055588368355,0.10659476095650679,0.11396661550486571,0.10192202432454157,0.11975172746869915,0.007371854548358925,0.017829703144157577,7.291059956743867,7.275526259112185,0.4226983196198055,6.996451319591479,7.56566950761145,6.646563254396848,8.004308699803172,0.5692181880199714,1.3577454454063238,1.0,1.0,-0.007588918467572259,-0.005571394810871544,0.005571394810871544,3.104044013860637e-05,1.0,1.0,0.0024305537661435256,0.0020930707104111074,0.0020930707104111074,4.3809449987808575e-06,1.0,1.0,-0.21725139454423026,-0.23278509217591203,0.23278509217591203,0.054188899139347865
13,0.459544095188684,0.3100461321934748,1.4821797386652111,0.4745746993906179,0.4737195538543581,0.029048445823705457,0.45464272062822364,0.49395249560893356,0.4275958211628635,0.5241859700175645,0.03930977498070992,0.09659014885470102,0.3165441141740047,0.3167803426498397,0.02635371061424624,0.29875787377637253,0.3337440911738826,0.2729620199513734,0.3609720756506398,0.03498621739751007,0.0880100556992664,1.5049374841964882,1.5013658636622926,0.09972718028695125,1.4377350195316152,1.5679244338517204,1.35154516592729,1.67734349782022,0.13018941432010522,0.32579833189293006,1.0,1.0,0.015030604201933917,0.014175458665674101,0.014175458665674101,0.00020094362838223498,1.0,1.0,0.0064979819805298655,0.006734210456364853,0.006734210456364853,4.5349590470613724e-05,1.0,1.0,0.022757745531277074,0.0191861249970815,0.0191861249970815,0.0003681073924036356
14,0.7789514461121113,0.45231282488814134,1.7221520223415043,0.7612781599196162,0.7650249657458699,0.040018737315924535,0.7375182737431512,0.7888972847519276,0.6861523198672839,0.8208943476533933,0.0513790110087764,0.13474202778610944,0.44793505927739186,0.4497513148733244,0.022031948662500158,0.43367067158278594,0.46421932635359225,0.4088671587587345,0.47939311112868266,0.030548654770806316,0.07052595236994819,1.7005478742089357,1.6986758726815854,0.06725056684694643,1.6586606030017017,1.7384802795166112,1.5954915900986195,1.817872817707649,0.07981967651490951,0.22238122760902956,1.0,1.0,-0.017673286192495086,-0.013926480366241445,0.013926480366241445,0.00019394685539130845,1.0,1.0,-0.0043777656107494844,-0.0025615100148169145,0.0025615100148169145,6.56133355600735e-06,1.0,1.0,-0.021604148132568612,-0.023476149659918955,0.023476149659918955,0.0005511296028549128
15,0.10455465732542506,0.11411673289916074,0.9162079448753128,0.32524985273822277,0.29964664919046213,0.15153329212239508,0.19790242847777087,0.4273741550983856,0.12628142862936428,0.6159028561122912,0.22947172662061474,0.4896214274829269,0.3823713080236015,0.4140950474605184,0.10809316767553462,0.31596743634603647,0.4724378714387392,0.15953176059845312,0.49760906158433554,0.15647043509270275,0.3380773009858824,0.8613952908466906,0.8432828348457169,0.3077387650844468,0.6439715317616338,1.0641960301905946,0.3840001826972412,1.3609483484541511,0.4202244984289608,0.9769481657569099,0.0,0.0,0.2206951954127977,0.19509199186503706,0.19509199186503706,0.03806088528986769,0.0,0.0,0.26825457512444073,0.29997831456135765,0.29997831456135765,0.08998698920707283,1.0,1.0,-0.05481265402862212,-0.0729251100295959,0.0729251100295959,0.005318071672828668
16,0.7982887930895484,0.11686131841277303,6.831078101223055,0.7655644224730777,0.7666026796755011,0.024761998283591352,0.7488980730375714,0.7825245342790209,0.723082759158673,0.8053063597997737,0.03362646124144952,0.08222360064110068,0.11545254423403092,0.11520368822280103,0.005541748424964166,0.11181927354484558,0.11896461313087608,0.10678622857689438,0.1249546460081755,0.0071453395860305025,0.018168417431281128,6.6452286353323755,6.641752160922908,0.36743137206766074,6.387938480762965,6.870568971555687,6.066433587145483,7.278612656999806,0.48263049079272236,1.212179069854323,0.0,1.0,-0.03272437061647071,-0.03168611341404726,0.03168611341404726,0.0010040097832878655,1.0,1.0,-0.001408774178742106,-0.0016576301899720036,0.0016576301899720036,2.747737846706621e-06,1.0,1.0,-0.18584946589067908,-0.18932594030014638,0.18932594030014638,0.03584431167053459
17,0.6326167395983572,0.40379855986921687,1.5666641797911574,0.6659054306964527,0.6682183365004046,0.03610776654626767,0.6420902483238677,0.6906352309074041,0.6022537468951553,0.7223036033180115,0.048544982583536345,0.12004985642285615,0.42162707475640704,0.4228013209799775,0.02444003717577976,0.406744572622431,0.4388798527087282,0.3789935845128814,0.45758195331418194,0.03213528008629718,0.07858836880130055,1.581315538496931,1.5778451553316182,0.0712946577917109,1.536618747445159,1.6224765892311934,1.4715647601455013,1.7011884639360426,0.0858578417860345,0.2296237037905413,0.0,1.0,0.03328869109809551,0.03560159690204745,0.03560159690204745,0.0012674737019758746,0.0,1.0,0.017828514887190172,0.019002761110760658,0.019002761110760658,0.0003611049298326376,1.0,1.0,0.01465135870577372,0.011180975540460825,0.011180975540460825,0.00012501421403638324
18,0.39531741434728207,0.4055263857896645,0.9748253830080553,0.2165346361234276,0.18808872153070424,0.09995018836913541,0.14129426099638825,0.2668154185560968,0.10871102268266843,0.42389695699699037,0.12552115755970855,0.31518593431432196,0.3057582322459704,0.3159088790608411,0.11852912350178568,0.2082304903649571,0.40957097916266627,0.1065820564416074,0.47560272186484626,0.20134048879770916,0.36902066542323886,0.7698771454992227,0.7322713623375363,0.2983117488441762,0.5451241467594331,0.9646875659875442,0.3413688238690174,1.3175006189873513,0.41956341922811113,0.9761317951183339,0.0,1.0,-0.17878277822385447,-0.20722869281657783,0.20722869281657783,0.04294373112646757,1.0,1.0,-0.09976815354369412,-0.0896175067288234,0.0896175067288234,0.008031297512290708,0.0,1.0,-0.20494823750883262,-0.242554020670519,0.242554020670519,0.05883245294343456
19,0.5914249487053967,0.1603217105393957,3.6889885138798246,0.5836197467290039,0.5838108983342807,0.014382178249005886,0.574081723763313,0.5934093047896073,0.5600069622475717,0.6072138732013839,0.019327581026294283,0.04720691095381213,0.1594666638548349,0.15934563799931792,0.005925886206092065,0.15531917699037223,0.1634041835843749,0.15008751341060117,0.16933634597161276,0.008085006594002658,0.019248832561011592,3.6640316163425286,3.6559036367722255,0.1436297227430186,3.561173903374754,3.7594661179626265,3.4359429979349003,3.9045617896012224,0.19829221458787272,0.46861879166632203,1.0,1.0,-0.007805201976392895,-0.007614050371116066,0.007614050371116066,5.79737630538927e-05,1.0,1.0,-0.0008550466845607951,-0.0009760725400777825,0.0009760725400777825,9.527176034938944e-07,1.0,1.0,-0.02495689753729602,-0.03308487710759911,0.03308487710759911,0.0010946090932249357
