quantity,n_cases,nominal_50,k_50,empirical_50,diff_50,se_50,ci95_50_low,ci95_50_high,avg_width50,nominal_90,k_90,empirical_90,diff_90,se_90,ci95_90_low,ci95_90_high,avg_width90
beta,100,0.5,52,0.52,0.020000000000000018,0.049959983987187186,0.4231657776522397,0.615354482419481,0.06890703233504115,0.9,89,0.89,-0.010000000000000009,0.031288975694324025,0.8136870349691969,0.9374580364293543,0.17008989677082964
gamma,100,0.5,54,0.54,0.040000000000000036,0.04983974317750845,0.44264860323368227,0.6343919169097589,0.06852146661842098,0.9,91,0.91,0.010000000000000009,0.028618176042508364,0.837737871472837,0.9519274599974348,0.13667731934911573
R0,100,0.5,61,0.61,0.10999999999999999,0.048774993593028795,0.5120301704584073,0.6998312599360558,0.3399079706746065,0.9,96,0.96,0.05999999999999994,0.019595917942265433,0.9016292856411208,0.9843366960084523,0.8198563138304431
