feature,n_cases,nominal_50,k_50,empirical_50,diff_50,se_50,ci95_50_low,ci95_50_high,nominal_90,k_90,empirical_90,diff_90,se_90,ci95_90_low,ci95_90_high,avg_pred_width50,avg_pred_width90
cumulative_infected,100,0.5,70,0.7,0.19999999999999996,0.045825756949558406,0.6041514536665332,0.7810511470506724,0.9,97,0.97,0.06999999999999995,0.017058722109231986,0.9154806357094724,0.9897454759759611,0.4952002279685803,1.3229542974406365
early_growth_slope,100,0.5,53,0.53,0.030000000000000027,0.04990991885387112,0.4328885697009936,0.6248918204065872,0.9,93,0.93,0.030000000000000027,0.02551470164434614,0.8625048526092651,0.9656807389327273,0.004459174439378807,0.010948909711803356
peak_height,100,0.5,59,0.59,0.08999999999999997,0.04918333050943175,0.4920143005341078,0.6813268697886348,0.9,95,0.95,0.04999999999999993,0.021794494717703377,0.8882495307680808,0.9784563208456319,0.02559342541731894,0.06431312067899853
peak_time,100,0.5,59,0.59,0.08999999999999997,0.04918333050943175,0.4920143005341078,0.6813268697886348,0.9,94,0.94,0.039999999999999925,0.023748684174075843,0.8752318455410406,0.9722138760368118,11.4,22.5825
