quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.52,0.020000000000000018,0.9,0.89,-0.010000000000000009,0.06890703233504115,0.17008989677082964
gamma,0.5,0.54,0.040000000000000036,0.9,0.91,0.010000000000000009,0.06852146661842098,0.13667731934911573
R0,0.5,0.61,0.10999999999999999,0.9,0.96,0.05999999999999994,0.3399079706746065,0.8198563138304431
