case_id,true_beta,true_gamma,true_R0,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,peak_time,47.0,26.45,26.0,15.748256276730315,13.0,41.25,2.0,48.05,28.25,46.05,0.0,1.0,-20.55,-21.0,21.0,441.0
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,peak_height,0.0631975382566452,0.05918194506317377,0.05539078637957573,0.018940854559657015,0.04660459514707327,0.07058901526033878,0.03517920169979334,0.09007463417947292,0.023984420113265514,0.05489543247967958,1.0,1.0,-0.004015593193471431,-0.007806751877069473,0.007806751877069473,6.0945374870127744e-05
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,cumulative_infected,0.6088357381104288,0.7844304727664713,0.6011676288690069,0.4766239857205631,0.4533097114399425,1.0189021781679912,0.3508298767425003,1.657197264910701,0.5655924667280487,1.3063673881682005,1.0,1.0,0.17559473465604247,-0.0076681092414219165,0.0076681092414219165,5.87998993383802e-05
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,early_growth_slope,-0.002386730559270029,-0.0004002636504377552,-0.00036077961392168365,0.0023391989025197367,-0.0020392067658360144,0.0012565464495050299,-0.004305976991114824,0.0036111200516599977,0.0032957532153410443,0.007917097042774822,0.0,1.0,0.0019864669088322734,0.002025950945348345,0.002025950945348345,4.104477232957853e-06
1,0.23390829074336805,0.19213231880350112,1.2174333407311466,peak_time,26.0,29.71,29.5,13.450466553434143,20.75,42.25,6.95,48.0,21.5,41.05,1.0,1.0,3.710000000000001,3.5,3.5,12.25
1,0.23390829074336805,0.19213231880350112,1.2174333407311466,peak_height,0.06995556503534317,0.07393454659730196,0.06132083758711815,0.03634509240088237,0.048924089409410954,0.08518514037132263,0.039933924563229084,0.14507482051849366,0.03626105096191168,0.10514089595526457,1.0,1.0,0.0039789815619587915,-0.008634727448225021,0.008634727448225021,7.455851810513059e-05
1,0.23390829074336805,0.19213231880350112,1.2174333407311466,cumulative_infected,1.0979140613926575,1.2099170265988506,0.8441046869265847,0.9486570182607359,0.5490418721965398,1.585354232112877,0.3732211906753946,3.2130179272731767,1.0363123599163373,2.839796736597782,1.0,1.0,0.11200296520619313,-0.25380937446607277,0.25380937446607277,0.06441919856685915
1,0.23390829074336805,0.19213231880350112,1.2174333407311466,early_growth_slope,-0.0032581384875811628,0.0005505102443913491,0.0006575922570413067,0.0026867389296894553,-0.0014030399161995197,0.002599543433115331,-0.003744964744795908,0.005409105492400979,0.004002583349314851,0.009154070237196887,0.0,1.0,0.0038086487319725117,0.00391573074462247,0.00391573074462247,1.533294726438164e-05
2,0.4709300681629338,0.4296197493409783,1.0961555396029259,peak_time,7.0,23.83,23.0,14.817444673987032,11.75,35.0,1.9500000000000002,49.0,23.25,47.05,0.0,1.0,16.83,16.0,16.0,256.0
2,0.4709300681629338,0.4296197493409783,1.0961555396029259,peak_height,0.06679648905992508,0.05361794011667371,0.04873528704047203,0.016450168715718312,0.04449033085256815,0.05859895795583725,0.03511552624404431,0.089326536282897,0.0141086271032691,0.05421101003885269,0.0,1.0,-0.013178548943251371,-0.01806120201945305,0.01806120201945305,0.0003262070183874949
2,0.4709300681629338,0.4296197493409783,1.0961555396029259,cumulative_infected,0.566869409987703,0.6431091505204608,0.49944758194033056,0.43237598011723694,0.4061763335339492,0.6608117530413438,0.3161511577607598,1.6102458722889417,0.25463541950739454,1.2940947145281818,1.0,1.0,0.07623974053275784,-0.0674218280473724,0.0674218280473724,0.004545702897249451
2,0.4709300681629338,0.4296197493409783,1.0961555396029259,early_growth_slope,0.0035136446711562927,-0.0002119484876625197,-0.0003424861469760621,0.0022599322346032813,-0.002041407794292483,0.0009195083874233421,-0.0034808854627217853,0.003702962330550818,0.002960916181715825,0.007183847793272603,0.0,1.0,-0.0037255931588188124,-0.0038561308181323545,0.0038561308181323545,1.4869744886550102e-05
3,0.7161157027602989,0.10887303364351458,6.577530530701409,peak_time,10.0,11.2,11.0,0.8164965809277263,11.0,12.0,10.0,12.0,1.0,2.0,0.0,1.0,1.1999999999999993,1.0,1.0,1.0
3,0.7161157027602989,0.10887303364351458,6.577530530701409,peak_height,0.5754033327102661,0.5618316239118576,0.5607456862926483,0.02184519932825915,0.5462290346622467,0.5756342709064484,0.5267892837524414,0.5953445583581924,0.02940523624420166,0.06855527460575106,1.0,1.0,-0.013571708798408522,-0.014657646417617798,0.014657646417617798,0.00021484659850390386
3,0.7161157027602989,0.10887303364351458,6.577530530701409,cumulative_infected,8.930334949865937,8.978059209154454,8.956666687736288,0.41250599244145814,8.687550152244512,9.228315907996148,8.377221748180455,9.681374259515724,0.5407657557516359,1.3041525113352694,1.0,1.0,0.047724259288516535,0.02633173787035048,0.02633173787035048,0.0006933604192728496
3,0.7161157027602989,0.10887303364351458,6.577530530701409,early_growth_slope,0.04490967249009935,0.04330839612537948,0.04315895690316599,0.004476268374596337,0.04052676544476222,0.045376246771498,0.03648962939291127,0.051618921386987135,0.00484948132673578,0.015129291994075866,1.0,1.0,-0.001601276364719871,-0.001750715586933356,0.001750715586933356,3.0650050663314053e-06
4,0.8912560378449561,0.06082878979999215,14.651878506467856,peak_time,9.0,9.52,9.0,0.9154123649917549,9.0,10.0,8.0,11.0,1.0,3.0,1.0,1.0,0.5199999999999996,0.0,0.0,0.0
4,0.8912560378449561,0.06082878979999215,14.651878506467856,peak_height,0.7305667400360107,0.751581689119339,0.7537614107131958,0.024489292884248337,0.7342114895582199,0.7647635340690613,0.7139629989862442,0.7941720068454743,0.03055204451084137,0.08020900785923013,0.0,1.0,0.021014949083328238,0.02319467067718506,0.02319467067718506,0.0005379927478230684
4,0.8912560378449561,0.06082878979999215,14.651878506467856,cumulative_infected,15.38385815732181,15.617774980050745,15.733255215920508,0.6942350633345962,15.243645736947656,16.130709146149457,14.547245567734354,16.535889291483908,0.8870634092018008,1.9886437237495542,1.0,1.0,0.23391682272893455,0.3493970585986972,0.3493970585986972,0.12207830455742144
4,0.8912560378449561,0.06082878979999215,14.651878506467856,early_growth_slope,0.09765097625287514,0.08769316060866998,0.0900099513805582,0.010789580626612845,0.08097050935612059,0.09446621921822604,0.06739290245320825,0.10414439592831988,0.013495709862105451,0.03675149347511163,0.0,1.0,-0.009957815644205156,-0.007641024872316937,0.007641024872316937,5.838526109936606e-05
5,0.4651160728464041,0.06241267709577952,7.452269226212318,peak_time,16.0,17.19,17.0,1.3310207217080285,16.0,18.0,15.0,20.0,2.0,5.0,1.0,1.0,1.1900000000000013,1.0,1.0,1.0
5,0.4651160728464041,0.06241267709577952,7.452269226212318,peak_height,0.6442359089851379,0.6079074484109879,0.6077266335487366,0.02005645915562887,0.5911692529916763,0.6215651631355286,0.5777559995651245,0.6399649769067765,0.030395910143852234,0.06220897734165198,0.0,0.0,-0.03632846057415007,-0.03650927543640137,0.03650927543640137,0.0013329271928910202
5,0.4651160728464041,0.06241267709577952,7.452269226212318,cumulative_infected,14.484704890288413,14.505501156415702,14.628285250160843,0.6282421838677064,14.180930076632649,14.919084862689488,13.416460900846868,15.431473263911903,0.7381547860568389,2.0150123630650345,1.0,1.0,0.020796266127289798,0.14358035987243056,0.14358035987243056,0.02061531974109667
5,0.4651160728464041,0.06241267709577952,7.452269226212318,early_growth_slope,0.016362444414491095,0.015886638434153392,0.01596868252437118,0.0036122264645179966,0.013828515052972803,0.017852093478376484,0.009300241627941085,0.021494068011608233,0.004023578425403681,0.012193826383667148,1.0,1.0,-0.00047580598033770266,-0.0003937618901199147,0.0003937618901199147,1.5504842611080777e-07
6,0.6946274882314609,0.3172978150655035,2.1891971997602973,peak_time,14.0,12.22,12.0,1.322532006830424,11.0,13.0,10.0,15.0,2.0,5.0,0.0,1.0,-1.7799999999999994,-2.0,2.0,4.0
6,0.6946274882314609,0.3172978150655035,2.1891971997602973,peak_height,0.22603872418403625,0.2103950023651123,0.2089485600590706,0.016703294909635253,0.19988658651709557,0.21998849138617516,0.18384110629558564,0.2405628703534603,0.02010190486907959,0.05672176405787466,0.0,1.0,-0.015643721818923956,-0.017090164124965668,0.017090164124965668,0.00029207370981826353
6,0.6946274882314609,0.3172978150655035,2.1891971997602973,cumulative_infected,2.889296377717983,2.7834604064012183,2.777309073950164,0.16346274231385996,2.6735441553246346,2.8834410092094913,2.5191846685382187,3.0762460565951186,0.20989685388485668,0.5570613880569,0.0,1.0,-0.1058359713167647,-0.11198730376781896,0.11198730376781896,0.012541156205185758
6,0.6946274882314609,0.3172978150655035,2.1891971997602973,early_growth_slope,0.012476598034568482,0.01288235097193083,0.01273234167976105,0.0025772168302088923,0.011167017504617216,0.014486159404484729,0.009234375543781512,0.01743961037524665,0.0033191418998675132,0.008205234831465139,1.0,1.0,0.000405752937362348,0.00025574364519256876,0.00025574364519256876,6.54048120563825e-08
7,0.13622670936077855,0.1863216744141753,0.7311372108966753,peak_time,18.0,25.68,26.0,14.234600042988154,14.75,38.0,2.0,47.05,23.25,45.05,1.0,1.0,7.68,8.0,8.0,64.0
7,0.13622670936077855,0.1863216744141753,0.7311372108966753,peak_height,0.05140611529350281,0.0530832601338625,0.04965387098491192,0.018517373925434313,0.042900487780570984,0.05800372455269098,0.03633688278496265,0.07922894172370432,0.015103236772119999,0.042892058938741665,1.0,1.0,0.00167714484035969,-0.001752244308590889,0.001752244308590889,3.0703601169891626e-06
7,0.13622670936077855,0.1863216744141753,0.7311372108966753,cumulative_infected,0.5179562073899433,0.6300757543783948,0.4970565943222027,0.45015141451838225,0.4057262067653937,0.6786228188902896,0.305126335186651,1.1723409815778718,0.2728966121248959,0.8672146463912208,1.0,1.0,0.1121195469884515,-0.020899613067740574,0.020899613067740574,0.0004367938263812726
7,0.13622670936077855,0.1863216744141753,0.7311372108966753,early_growth_slope,-0.00021674994301671758,-0.00039930098424758247,-0.0005489153416073391,0.002303009440120257,-0.0018564384860967802,0.0013180160118887825,-0.004108846548756226,0.00294200368003831,0.0031744544979855627,0.007050850228794536,1.0,1.0,-0.0001825510412308649,-0.0003321653985906215,0.0003321653985906215,1.1033385202086645e-07
8,0.3722536022936096,0.10124220745681055,3.6768617718298096,peak_time,21.0,21.9,22.0,1.642245321798694,21.0,23.0,19.0,25.0,2.0,6.0,1.0,1.0,0.8999999999999986,1.0,1.0,1.0
8,0.3722536022936096,0.10124220745681055,3.6768617718298096,peak_height,0.43020814657211304,0.39705084145069125,0.3967309296131134,0.027996305464173785,0.37992358952760696,0.4183143600821495,0.3502397119998932,0.4371489480137825,0.03839077055454254,0.08690923601388933,0.0,1.0,-0.03315730512142179,-0.033477216958999634,0.033477216958999634,0.0011207240553199327
8,0.3722536022936096,0.10124220745681055,3.6768617718298096,cumulative_infected,9.014047164469957,9.185998412735625,9.254739419091493,0.5529943983682856,8.82528662297409,9.587536826569703,8.254529383801856,9.942525682452834,0.7622502035956131,1.6879962986509778,1.0,1.0,0.17195124826566754,0.24069225462153554,0.24069225462153554,0.0579327614347981
8,0.3722536022936096,0.10124220745681055,3.6768617718298096,early_growth_slope,0.005858646794444038,0.005844085874484897,0.005839512062569458,0.0024240084007030593,0.004527281321186041,0.007405633655642824,0.0015883622918322338,0.009537309852229163,0.0028783523344567833,0.00794894756039693,1.0,1.0,-1.4560919959140384e-05,-1.913473187457968e-05,1.913473187457968e-05,3.6613796391205563e-10
9,0.5287703502654783,0.17824031776002902,2.9666147194451242,peak_time,16.0,15.51,16.0,1.2672646116575637,15.0,16.0,14.0,18.0,1.0,4.0,1.0,1.0,-0.4900000000000002,0.0,0.0,0.0
9,0.5287703502654783,0.17824031776002902,2.9666147194451242,peak_height,0.32051903009414673,0.3156411150097847,0.31534072756767273,0.01938548387675647,0.3007231503725052,0.32799794524908066,0.28847445994615556,0.3503026470541954,0.02727479487657547,0.061828187108039834,1.0,1.0,-0.004877915084362028,-0.005178302526473999,0.005178302526473999,2.6814817055687e-05
9,0.5287703502654783,0.17824031776002902,2.9666147194451242,cumulative_infected,5.430846870876849,5.318150368925781,5.311849439749494,0.22671472824143685,5.162413486556034,5.473450090765255,4.941791228728834,5.627945788856596,0.31103660420922097,0.6861545601277612,1.0,1.0,-0.11269650195106795,-0.1189974311273545,0.1189974311273545,0.014160388614909479
9,0.5287703502654783,0.17824031776002902,2.9666147194451242,early_growth_slope,0.0094764467018346,0.01066070970021558,0.010576058400883558,0.002736826326642629,0.008250507266244052,0.012479543507565503,0.006531380963445241,0.015148411603877317,0.004229036241321451,0.008617030640432077,1.0,1.0,0.0011842629983809805,0.001099611699048958,0.001099611699048958,1.209145888685336e-06
10,0.4336181739742695,0.46234348235947054,0.9378701993621548,peak_time,3.0,19.34,15.0,15.64584044506153,6.0,32.0,0.0,46.05,26.0,46.05,0.0,1.0,16.34,12.0,12.0,144.0
10,0.4336181739742695,0.46234348235947054,0.9378701993621548,peak_height,0.05610832944512367,0.055320526324212554,0.04950397089123726,0.02365319779796936,0.04295805282890797,0.05913488380610943,0.034691874496638776,0.0980886075645685,0.016176830977201462,0.06339673306792973,1.0,1.0,-0.000787803120911118,-0.006604358553886414,0.006604358553886414,4.361755190829264e-05
10,0.4336181739742695,0.46234348235947054,0.9378701993621548,cumulative_infected,0.39121412369422615,0.6490482026531936,0.4841804761090316,0.5813037099751165,0.4106797812237346,0.5799245330272242,0.3208140771079343,1.414301411970518,0.16924475180348963,1.0934873348625835,0.0,1.0,0.2578340789589675,0.09296635241480544,0.09296635241480544,0.008642742681313802
10,0.4336181739742695,0.46234348235947054,0.9378701993621548,early_growth_slope,0.0016901648292938873,-0.0006371134201361062,-0.000642318959026375,0.0021744741430802434,-0.002347429511636228,0.0008342019765612874,-0.004345956652624796,0.0030154776068922634,0.0031816314881975153,0.007361434259517059,0.0,1.0,-0.0023272782494299935,-0.002332483788320262,0.002332483788320262,5.440480622776841e-06
11,0.7434204432409244,0.25901279450049325,2.8702074145588536,peak_time,12.0,10.73,11.0,0.9624778627914703,10.0,11.0,9.0,12.0,1.0,3.0,0.0,1.0,-1.2699999999999996,-1.0,1.0,1.0
11,0.7434204432409244,0.25901279450049325,2.8702074145588536,peak_height,0.31978899240493774,0.2983232508599758,0.29845890402793884,0.019530536410190123,0.286308616399765,0.31204287707805634,0.26788598448038103,0.3284344270825386,0.02573426067829132,0.06054844260215758,0.0,1.0,-0.021465741544961947,-0.0213300883769989,0.0213300883769989,0.0004549726701705836
11,0.7434204432409244,0.25901279450049325,2.8702074145588536,cumulative_infected,3.7838132828328526,3.68255270084378,3.6722847727069166,0.20833770620581551,3.5620796592047554,3.815234409790719,3.364585661003366,4.035022527277761,0.2531547505859635,0.6704368662743945,1.0,1.0,-0.1012605819890724,-0.11152851012593601,0.11152851012593601,0.012438608570911011
11,0.7434204432409244,0.25901279450049325,2.8702074145588536,early_growth_slope,0.02483115816444513,0.02353345053353092,0.023665189984188012,0.003452564842113625,0.0211783016205854,0.02525154814828142,0.01854877595157762,0.03021386313775153,0.004073246527696021,0.01166508718617391,1.0,1.0,-0.0012977076309142084,-0.0011659681802571181,0.0011659681802571181,1.3594817973720954e-06
12,0.1224658402487317,0.19272282725887424,0.6354506209284171,peak_time,4.0,18.91,17.0,14.013049473813885,6.75,28.5,0.0,45.05,21.75,45.05,0.0,1.0,14.91,13.0,13.0,169.0
