quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.47,-0.030000000000000027,0.9,0.79,-0.10999999999999999,0.0670740150019245,0.15530647574076248
gamma,0.5,0.41,-0.09000000000000002,0.9,0.85,-0.050000000000000044,0.07702212050299685,0.1677044006413242
R0,0.5,0.65,0.15000000000000002,0.9,0.95,0.04999999999999993,0.3091725573742931,0.8283379917920923
