case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
0,peak_time,46.0,25.85,26.0,16.302924692684854,11.75,42.0,1.0,48.0,30.25,47.0,0.0,1.0,-20.15,-20.0,20.0,400.0,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06
0,peak_height,0.06380709260702133,0.06203332789242268,0.05219460465013981,0.030877161069181196,0.04168055206537247,0.06570680066943169,0.03510223161429167,0.12650775238871573,0.02402624860405922,0.09140552077442406,1.0,1.0,-0.0017737647145986551,-0.011612487956881523,0.011612487956881523,0.0001348498765487184,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06
0,cumulative_infected,0.6326338803191902,0.8280198625186859,0.5122948352072854,0.7379281595616483,0.4132502776774345,0.8651766480033984,0.3260787286388222,2.544774761213921,0.45192637032596394,2.218696032575099,1.0,1.0,0.19538598219949566,-0.12033904511190485,0.12033904511190485,0.014481485778445071,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06
0,early_growth_slope,-0.0024941901889784864,-0.0007922084735725668,-0.0008757807635923924,0.0022486571832910245,-0.002536206380422558,0.000769885019898149,-0.004484009425227881,0.0028040388890076414,0.003306091400320707,0.007288048314235523,1.0,1.0,0.0017019817154059196,0.0016184094253860939,0.0016184094253860939,2.6192490681785465e-06,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06
1,peak_time,33.0,30.13,30.0,2.4315061633115844,29.0,31.0,26.0,34.0,2.0,8.0,0.0,1.0,-2.870000000000001,-3.0,3.0,9.0,0.2713565826812055,0.08538667166611949,3.177973533647838,0.2713565826812055,0.08538667166611949,3.177973533647838,0.38426463760700225,0.09375293050568131,0.4469875793470971,0.4469875793470971,pooled,full_curve,50,0.004055805891564621
1,peak_height,0.35008546710014343,0.36944682329893114,0.3705885708332062,0.038998048568817285,0.3443901836872101,0.39674946665763855,0.3032230779528618,0.4316666051745415,0.05235928297042847,0.12844352722167968,1.0,1.0,0.019361356198787705,0.020503103733062744,0.020503103733062744,0.00042037726268873143,0.2713565826812055,0.08538667166611949,3.177973533647838,0.2713565826812055,0.08538667166611949,3.177973533647838,0.38426463760700225,0.09375293050568131,0.4469875793470971,0.4469875793470971,pooled,full_curve,50,0.004055805891564621
1,cumulative_infected,8.933826269581914,9.662531323094663,9.757215267512947,1.085192671866547,9.039891026855912,10.444487709435634,7.676022454537451,11.205011538416148,1.4045966825797223,3.528989083878697,0.0,1.0,0.7287050535127495,0.8233889979310334,0.8233889979310334,0.6779694419138713,0.2713565826812055,0.08538667166611949,3.177973533647838,0.2713565826812055,0.08538667166611949,3.177973533647838,0.38426463760700225,0.09375293050568131,0.4469875793470971,0.4469875793470971,pooled,full_curve,50,0.004055805891564621
1,early_growth_slope,0.005494136440878112,0.0034111454851639186,0.003434897255266107,0.0027703212267913,0.0010550321749178706,0.005214982226745978,-0.000844989365820462,0.0077482785322769915,0.004159950051828107,0.008593267898097454,0.0,1.0,-0.0020829909557141934,-0.002059239185612005,0.002059239185612005,4.240466023559993e-06,0.2713565826812055,0.08538667166611949,3.177973533647838,0.2713565826812055,0.08538667166611949,3.177973533647838,0.38426463760700225,0.09375293050568131,0.4469875793470971,0.4469875793470971,pooled,full_curve,50,0.004055805891564621
2,peak_time,4.0,20.44,19.0,14.454610253332934,8.75,31.0,0.9500000000000002,45.0,22.25,44.05,0.0,1.0,16.44,15.0,15.0,225.0,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.13019504140257454,0.13768807731046862,0.6814932701214442,0.6814932701214442,pooled,full_curve,50,2.292390267655354e-05
2,peak_height,0.06671859323978424,0.05685175061225891,0.05131303891539574,0.025288738686648,0.041651234962046146,0.0634025651961565,0.0348418002948165,0.09596366100013257,0.021751330234110355,0.06112186070531607,0.0,1.0,-0.009866842627525331,-0.015405554324388504,0.015405554324388504,0.00023733110404168534,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.13019504140257454,0.13768807731046862,0.6814932701214442,0.6814932701214442,pooled,full_curve,50,2.292390267655354e-05
