tau_bin,n_cases,tau_mean,R0_err_median_mean,gamma_err_median_mean,R0_covered90_rate,gamma_covered90_rate
"(9.999, 15.0]",84,12.464285714285714,-0.37475239185040354,0.04150030685285929,0.5119047619047619,0.4642857142857143
"(15.0, 19.0]",69,17.565217391304348,-0.37582264063737253,0.02035962291422128,0.6521739130434783,0.5072463768115942
"(19.0, 25.0]",78,22.923076923076923,-0.1830908034754613,-0.004356347484500294,0.8076923076923077,0.7692307692307693
"(25.0, 30.0]",69,27.782608695652176,-0.14548791093566485,0.006197731284267166,0.8405797101449275,0.8260869565217391
