eta_bin,n_cases,eta_mean,R0_err_median_mean,gamma_err_median_mean,R0_covered90_rate,gamma_covered90_rate
"(0.303, 0.532]",75,0.4097230446683162,-0.5409245978605758,0.03462039219655112,0.5066666666666667,0.4533333333333333
"(0.532, 0.712]",75,0.6298751948768602,-0.28908475761966074,0.02055514843070961,0.64,0.5466666666666666
"(0.712, 0.886]",75,0.8147973237382706,-0.15048847368585097,0.00210875083862049,0.76,0.68
"(0.886, 1.0]",75,0.9429131307575699,-0.10924499276803869,0.009098216688050243,0.88,0.8666666666666667
