metric,mean,std,median,q05,q95
pointwise_empirical_50,0.5867999999999999,0.14448011991448875,0.59,0.32,0.8
pointwise_empirical_90,0.8754,0.11598867935007164,0.92,0.64,0.98
curve_bias_full,-0.005067101503188224,0.004961537993731013,-0.005190251116000581,-0.012219702269532718,8.351221377960193e-05
curve_mae_full,0.017396270263401035,0.008742746210657315,0.014993803582074179,0.008374472375912774,0.03583587798033841
curve_rmse_full,0.023591454697551403,0.011767489515420749,0.019909026740036934,0.01196338431352744,0.04851928815258534
curve_bias_first,-0.012437886886698408,0.012752134080557457,-0.008343137607880635,-0.03889253984584852,-0.000787039242568427
curve_mae_first,0.020459641953130277,0.011880497966008822,0.016248253253122256,0.008905483701948255,0.04169726159465921
curve_rmse_first,0.02612562540611283,0.014875585469949862,0.019905548576506678,0.0115444258201996,0.056372948528749016
curve_bias_second,-0.00014219636448469102,0.009875530236312699,-0.0031208112424965725,-0.009804597660310237,0.02153023319624214
curve_mae_second,0.01530725088567294,0.00828557724140175,0.012733758035886776,0.006499277806069228,0.031669196215322395
curve_rmse_second,0.020903986832725034,0.010883813795297698,0.017593586059434077,0.009740516437030345,0.04249310941497407
second_minus_first_rmse,-0.005221638573387803,0.011743108654327244,-0.003517533237784738,-0.027378046432689533,0.008397796121021666
second_minus_first_mae,-0.005152391067457337,0.009905484351808694,-0.002850210962109501,-0.023214178405091223,0.0066019928676039254
