case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,tau_used,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.82,0.98,-0.002660258370451629,0.011127302967943252,0.014468301404567419,0.0021297293030382958,0.007647472721360186,0.00831019304338583,-0.005127827778007045,0.012919942791940588,0.016780742058896892,0.008470549015511062,0.005272470070580402,tau,17,17,0.2080845525294241,0.33796092457181953,0.6157059511926042,0.2080845525294241,0.24952474103860464,0.6157059511926042,0.738324234834961,time_avg,0.26104133230789256,0.33796092457181953,17,0.692625131777012,medium
1,0.32,0.78,0.012121746237389742,0.02682451799977571,0.03329646064684252,-0.008569491110392846,0.018620309900143184,0.0223653188187681,0.02185879910693449,0.030685321811367485,0.03734946050736222,0.014984141688594122,0.012065011911224301,tau,16,16,0.2980045453362274,0.09375293050568131,3.1786157907690007,0.2980045453362274,0.28269541547749233,3.1786157907690007,3.015323509918032,time_avg,0.38426463760700225,0.09375293050568131,16,0.669880950641827,medium
2,0.86,0.98,-0.002268778169818688,0.008309147700492759,0.012195836350429562,-0.002547333143678877,0.010481442458352403,0.016498509161759854,-0.002125280152981621,0.007190086764625668,0.00922694922626026,-0.007271559935499593,-0.003291355693726735,tau,17,17,0.23590054692584636,0.42381710222092844,0.5566093149371673,0.23590054692584636,0.2721158903497324,0.5566093149371673,0.6420597208648817,time_avg,0.27537615462093723,0.42381710222092844,17,0.782800631764664,medium
3,0.58,0.88,-0.0034844274738497914,0.015023308248382819,0.01977022782834727,-0.00781990836840123,0.01663647119421512,0.021723314674914652,-0.0005941068774821663,0.013947866284494619,0.0183530627870215,-0.0033702518878931526,-0.002688604909720501,tau,20,20,0.43582955553093305,0.20865185201255343,2.0887883396535183,0.43582955553093305,0.4603264169874734,2.0887883396535183,2.2061937746892277,time_avg,0.5088133920563621,0.20865185201255343,20,0.7609345008574233,medium
4,0.78,0.98,-0.006057910987583455,0.010580013465660159,0.014284043482266941,-0.0071446003763412595,0.013121306719403947,0.01792698554173623,-0.005333451395078252,0.008885817963164299,0.011216295731200263,-0.006710689810535969,-0.004235488756239648,tau,20,20,0.1393144380106585,0.18700362221474154,0.7449825642985662,0.1393144380106585,0.15784572583380932,0.7449825642985662,0.8440784406440567,time_avg,0.18254132540300172,0.18700362221474154,20,0.605323275912911,medium
5,0.34,0.84,0.01502720583230257,0.03217986760661006,0.03951134065479231,-0.010233223039124693,0.021799487926598107,0.027646653644039634,0.024850705948968727,0.03621668192661471,0.04325524297346421,0.015608589329424577,0.014417194000016603,tau,14,14,0.24101531580891916,0.07434764212810198,3.2417344909694186,0.24101531580891916,0.22606498804330963,3.2417344909694186,3.040647713532013,time_avg,0.293222378204653,0.07434764212810198,14,0.7527139322485275,medium
6,0.6,0.88,0.002295264657586813,0.017290024273097514,0.022149415703360813,0.0034629751563720083,0.01903427420588939,0.023692106912918374,0.0013005483067697948,0.015804181737756287,0.020744981017846373,-0.002947125895072001,-0.003230092468133102,tau,23,23,0.6614836108542218,0.12007176008901925,5.509068996438535,0.6614836108542218,0.7647611723704096,5.509068996438535,6.369200982840829,time_avg,0.8072158415831313,0.12007176008901925,23,0.6656724416848065,medium
7,0.5,0.88,-0.002583424543263391,0.016556849953485653,0.021515736210990163,-0.003710522993721745,0.016561497426168484,0.02252420396785075,-0.0016978471893318264,0.016553198367806284,0.020688912160319903,-0.001835291807530847,-8.299058362200296e-06,tau,22,22,0.4404213594148779,0.2922467506437757,1.5070188409099359,0.4404213594148779,0.4545895823132732,1.5070188409099359,1.5554991845482649,time_avg,0.48996164703975054,0.2922467506437757,22,0.8194454609567585,medium
8,0.6,0.86,-0.005129925782093778,0.015119497292907909,0.01973801919723674,-0.004932967945933342,0.015780857298523188,0.020572191799558447,-0.005222611822639866,0.014808269054971306,0.019333017235471418,-0.0012391745640870297,-0.0009725882435518817,tau,16,16,0.44417350551151374,0.33693931512896735,1.318259655574777,0.44417350551151374,0.4548536663766191,1.318259655574777,1.3499572354817624,time_avg,0.5227998506544365,0.33693931512896735,16,0.7788312716489568,medium
9,0.5,0.92,0.0013587410422042012,0.016911597033031286,0.02094309189328829,-0.007184286761912517,0.018317775291507132,0.0206048757918036,0.005378989420612068,0.01624986608786618,0.021100376634640646,0.0004955008428370461,-0.002067909203640951,tau,16,16,0.3779261431185861,0.12948875842959828,2.91860195203015,0.3779261431185861,0.3776173019536333,2.91860195203015,2.9162168711266157,time_avg,0.4646839378666684,0.12948875842959828,16,0.7254370511226931,medium
10,0.6,0.96,-0.0017488734774451587,0.014591258719920007,0.01888464654868661,-0.0011167341705273699,0.015398246788040356,0.01944354715926812,-0.0024909500551312585,0.013643924900822205,0.01820666690815615,-0.0012368802511119707,-0.001754321887218151,tau,27,27,0.6988397533517642,0.1551854573827073,4.503255428299157,0.6988397533517642,0.8212030668025821,4.503255428299157,5.291752723822501,time_avg,0.8374964213564154,0.1551854573827073,27,0.6400849825097135,medium
11,0.6,0.92,-0.004168528106529266,0.01394492650171742,0.01812911215418737,-0.003039557347074151,0.012542519392445684,0.016985514521362304,-0.004450770796393044,0.014295528279035352,0.018403911499597792,0.001418396978235488,0.0017530088865896683,tau,10,10,0.5620335766985064,0.4142892524820762,1.3566211851532939,0.5620335766985064,0.56600138340966,1.3566211851532939,1.3661985678331046,time_avg,0.6474256580029935,0.4142892524820762,10,0.8351314929966597,medium
12,0.6,0.92,-0.004078583937516669,0.013828604254958918,0.019063598819465132,-0.00901958237712582,0.018090231344103813,0.023681708785904206,-0.0012992723152365215,0.011431439017314915,0.01588653128351666,-0.007795177502387545,-0.006658792326788898,tau,18,18,0.4910500709061971,0.2540985352126566,1.9325183063146523,0.4910500709061971,0.5405607006107912,1.9325183063146523,2.127366457104496,time_avg,0.5994305981110294,0.2540985352126566,18,0.7174909417517197,medium
13,0.44,0.88,-0.0015209639724344014,0.01758425052277744,0.022005679723406463,-0.010147692803293466,0.017024038154631854,0.022092696164547742,0.0071057648584246635,0.018144462890923023,0.021918317826860302,-0.00017437833768743985,0.0011204247362911687,tau,25,25,0.36024495157028236,0.15368390653517353,2.3440642529986273,0.36024495157028236,0.3743246244436359,2.3440642529986273,2.435678744006709,time_avg,0.4130429568877796,0.15368390653517353,25,0.7443461778633257,medium
14,0.6,0.9,-0.003856235254788771,0.014883909415220841,0.0185052816135579,-0.011224447258023752,0.018299951709599957,0.02091321863467757,0.00028838399703090545,0.012962385624632589,0.01700160243729006,-0.003911616197387512,-0.005337566084967368,tau,18,18,0.5995268125231712,0.184024715982677,3.25786027883128,0.5995268125231712,0.678156549897759,3.25786027883128,3.6851384134813534,time_avg,0.7246202710627209,0.184024715982677,18,0.7302607492868106,medium
15,0.68,0.94,-0.0036238761834101753,0.013458770510624163,0.017422694795896313,-0.0012973302192139354,0.017178212133744222,0.019981648414811155,-0.005451876583850078,0.010536352092458401,0.015111084724394104,-0.004870563690417051,-0.006641860041285821,tau,22,22,0.7983405477128247,0.19389193396296361,4.117451053251758,0.7983405477128247,0.8918660718175879,4.117451053251758,4.599810077648451,time_avg,0.9051074483412495,0.19389193396296361,22,0.7893563023450738,medium
16,0.56,0.9,-0.006436268074612599,0.014938507369661238,0.020377627128552088,-0.0049604816724442774,0.01933976867305184,0.02292118654937767,-0.008168712981505845,0.00977180931785488,0.016910381379326225,-0.006010805170051446,-0.00956795935519696,tau,27,27,0.6677291283885063,0.42179631479061813,1.583060602888317,0.6677291283885063,0.7343993322083398,1.583060602888317,1.7411231593450487,time_avg,0.740246937946567,0.42179631479061813,27,0.7870340233759666,medium
17,0.86,1.0,-0.0013457107366411946,0.007545364589022938,0.009355794836649467,-0.0024809782798084516,0.008329802583003502,0.010010966660585825,-0.00045371480986692144,0.0069290204508953524,0.008806890311260147,-0.0012040763493256779,-0.0014007821321081497,tau,22,22,0.26120696415671135,0.40585461416976637,0.6435973746191047,0.26120696415671135,0.3068608457779732,0.6435973746191047,0.756085640188423,time_avg,0.3123512109611524,0.40585461416976637,22,0.7076079459728863,medium
18,0.62,0.96,-0.0018234250228852033,0.012217119140550493,0.01531586018279187,-0.0024927845762039605,0.013275018373790842,0.015612719573489206,-0.001098285506789883,0.01107106163787345,0.01498762869342959,-0.0006250908800596172,-0.0022039567359173912,tau,26,26,0.3561506549918327,0.2478963552731846,1.4366917762842888,0.3561506549918327,0.3879061480650223,1.4366917762842888,1.564791655115483,time_avg,0.43795130167305996,0.2478963552731846,26,0.6108745121473711,medium
19,0.62,0.94,-0.00255815795972012,0.012963522692443804,0.016375927288185516,-0.0033248143613730605,0.017322677506231947,0.020703112723971497,-0.002088271778061866,0.010291782645283328,0.013031959566746784,-0.007671153157224712,-0.007030894860948619,tau,19,19,0.629772368513695,0.1610967732962836,3.9092798423432074,0.629772368513695,0.6949192072160149,3.9092798423432074,4.3136755193596805,time_avg,0.7313359580150246,0.1610967732962836,19,0.7760095899348474,medium
20,0.48,0.9,0.00356598736718297,0.015785587895661594,0.019315775810525855,-0.0040619322945448484,0.016336582220074804,0.018767348968748397,0.0095593528156834,0.01535266378362264,0.0197359943442718,0.0009686453755234012,-0.0009839184364521646,tau,22,22,0.40247032031154023,0.10967194134528829,3.6697656244126575,0.40247032031154023,0.4108256651750643,3.6697656244126575,3.74595051510606,time_avg,0.4449378633814678,0.10967194134528829,22,0.8295606991888229,medium
21,0.6,0.96,-0.0043816761299967765,0.015546903666108846,0.01853002399522798,-0.004179459949955344,0.015569847682490945,0.018563882020121096,-0.0044683402071573905,0.015537070516230805,0.018515494459916237,-4.8387560204858626e-05,-3.277716626014053e-05,tau,15,15,0.276896780809424,0.2100296851457668,1.3183697371980987,0.276896780809424,0.26996328874877185,1.3183697371980987,1.2853577748374443,time_avg,0.3519870896761951,0.2100296851457668,15,0.6952391921295864,medium
22,0.86,0.96,-0.0038669166280305943,0.009784959290118422,0.013511495917957696,-0.001373607687128242,0.008952883181336801,0.011065778276924175,-0.005040238482572878,0.010176524517780361,0.014520576591882437,0.003454798314958263,0.0012236413364435598,tau,16,16,0.10434001674349357,0.37430596003658884,0.27875595871701914,0.10434001674349357,0.12297618676779899,0.27875595871701914,0.3285445595249884,time_avg,0.12342430858238262,0.37430596003658884,16,0.7726125802968791,medium
23,0.66,0.96,-0.005851821315009147,0.01317733883159235,0.017049881531415303,-0.004459786117963847,0.01625025114931521,0.019473165760378015,-0.006859846802524708,0.010952126463586143,0.015053508163021508,-0.004419657597356507,-0.005298124685729067,tau,21,21,0.4489477138306255,0.2986049005386757,1.5034840788638604,0.4489477138306255,0.4671629240140134,1.5034840788638604,1.5644851212128912,time_avg,0.508324410180716,0.2986049005386757,21,0.7986057479311044,medium
