metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6208,0.13513689280866198,0.62,0.34,0.8409999999999999
pointwise_empirical_90,0.9262,0.04871645439985271,0.94,0.839,0.98
curve_bias_full,-0.0006756429978666802,0.008266729237577833,-0.0036436775163338096,-0.0064320009752846085,0.013258653684286395
curve_mae_full,0.015382516862229887,0.006447295266309239,0.014009293642448028,0.008522322736185743,0.03056925091589801
curve_rmse_full,0.020081094048935048,0.007534262118871176,0.018455581179496333,0.012386093452441247,0.03843974276168149
curve_bias_first,-0.004479359472895006,0.004728960896482168,-0.004120696122250096,-0.01179169706558931,0.004186958567163436
curve_mae_first,0.015560954685282386,0.003611880539963867,0.016180303684804685,0.008947227241078508,0.021248436408486317
curve_rmse_first,0.019518428826036275,0.00415284443704973,0.019852126612961173,0.012374082761476932,0.025633989320193992
curve_bias_second,0.0018178196834583449,0.013453849255503886,-0.002687443493232422,-0.00797793023104822,0.024904229970471484
curve_mae_second,0.015243493823739154,0.010324830204755771,0.012307569965388175,0.007330814678482619,0.0351349777380921
curve_rmse_second,0.019693815792116636,0.010750539539384239,0.01720522339322951,0.010832105424487199,0.04327879318000612
second_minus_first_rmse,0.00017538696608035594,0.010661679159744954,-0.0013180222511993862,-0.01068024866555272,0.016058818283463446
second_minus_first_mae,-0.0003174608615432349,0.010090597272688752,-0.0023296660176590385,-0.010410076622690851,0.01445023474501564
