case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
10,0.6,0.96,-0.0028070795900566737,0.014695487642675288,0.01879129499889941,-0.0023400899091804467,0.015793517818329512,0.019199844889947134,-0.0033552848676070266,0.013406495697342072,0.018300058451125843,-0.0008997864388212914,-0.0023870221209874396,tau,27,0.6988397533517642,0.1551854573827073,4.503255428299157,0.6988397533517642,0.8212030668025821,4.503255428299157,5.291752723822501,time_avg,0.8374964213564154,0.1551854573827073,27,0.6400849825097135,medium
11,0.62,0.92,-0.0017916853283531963,0.013959946723189206,0.01754339064021536,-0.0011222288012504578,0.012529089208692312,0.015656153210235422,-0.001959049460128881,0.014317661101813428,0.01798428232119379,0.002328129110958369,0.0017885718931211162,tau,10,0.5620335766985064,0.4142892524820762,1.3566211851532939,0.5620335766985064,0.56600138340966,1.3566211851532939,1.3661985678331046,time_avg,0.6474256580029935,0.4142892524820762,10,0.8351314929966597,medium
12,0.62,0.92,-0.004611387370387092,0.014017418565927073,0.01932600124648601,-0.009453774015936587,0.018235827330499887,0.02415846990256035,-0.0018875448822655017,0.011644563635854865,0.015977861817572863,-0.008180608084987488,-0.006591263694645022,tau,18,0.4910500709061971,0.2540985352126566,1.9325183063146523,0.4910500709061971,0.5405607006107912,1.9325183063146523,2.127366457104496,time_avg,0.5994305981110294,0.2540985352126566,18,0.7174909417517197,medium
13,0.52,0.9,-0.002856286931782961,0.016782437823712824,0.02071632545324041,-0.006947704330086708,0.0167513382807374,0.021489241837074066,0.0012351304665207863,0.016813537366688253,0.019913431794567674,-0.0015758100425063912,6.219908595085297e-05,tau,25,0.36024495157028236,0.15368390653517353,2.3440642529986273,0.36024495157028236,0.3743246244436359,2.3440642529986273,2.435678744006709,time_avg,0.4130429568877796,0.15368390653517353,25,0.7443461778633257,medium
14,0.6,0.9,-0.005379718916956335,0.015451940693892538,0.019511861236220986,-0.013486399625738462,0.01975122011370129,0.022882500622482396,-0.0008197110182663891,0.013033596020250116,0.01733013760385613,-0.005552363018626265,-0.006717624093451176,tau,18,0.5995268125231712,0.184024715982677,3.25786027883128,0.5995268125231712,0.678156549897759,3.25786027883128,3.6851384134813534,time_avg,0.7246202710627209,0.184024715982677,18,0.7302607492868106,medium
15,0.62,0.94,-0.004360967729371623,0.01215133776269795,0.016729719796142028,-0.001836139486509968,0.014521504212594167,0.018518487455312663,-0.006344761348762924,0.010289064123493777,0.01517707377564069,-0.003341413679671973,-0.004232440089100391,tau,22,0.7983405477128247,0.19389193396296361,4.117451053251758,0.7983405477128247,0.8918660718175879,4.117451053251758,4.599810077648451,time_avg,0.9051074483412495,0.19389193396296361,22,0.7893563023450738,medium
16,0.54,0.84,-0.005295574608298921,0.01486749099656663,0.020459675178609808,-0.0025916454227020345,0.019213780355467287,0.02297464296573282,-0.008469752347912658,0.00976532522742238,0.017040095295754273,-0.005934547669978547,-0.009448455128044908,tau,27,0.6677291283885063,0.42179631479061813,1.583060602888317,0.6677291283885063,0.7343993322083398,1.583060602888317,1.7411231593450487,time_avg,0.740246937946567,0.42179631479061813,27,0.7870340233759666,medium
17,0.86,0.98,-0.002903214811640282,0.007233545195658735,0.009615940897063578,-0.0032611094674476508,0.008430806978140026,0.010376603266099833,-0.0026220118677916355,0.006292839509423435,0.008973154942195744,-0.0014034483239040892,-0.0021379674687165917,tau,22,0.26120696415671135,0.40585461416976637,0.6435973746191047,0.26120696415671135,0.3068608457779732,0.6435973746191047,0.756085640188423,time_avg,0.3123512109611524,0.40585461416976637,22,0.7076079459728863,medium
18,0.62,0.94,-0.0007395959598943591,0.01253421779256314,0.016011772346584557,0.0020315210657337536,0.013476710282982541,0.016514827722101954,-0.0037416394043248147,0.011513184261275455,0.015448320812179056,-0.0010665069099228975,-0.001963526021707086,tau,26,0.3561506549918327,0.2478963552731846,1.4366917762842888,0.3561506549918327,0.3879061480650223,1.4366917762842888,1.564791655115483,time_avg,0.43795130167305996,0.2478963552731846,26,0.6108745121473711,medium
19,0.58,0.98,-0.004763522463326808,0.0135584279653267,0.017479567945580015,-0.008193090533543574,0.019433165287697,0.02294846729844603,-0.002661529129968145,0.009957782509680387,0.013039337384953872,-0.009909129913492156,-0.009475382778016614,tau,19,0.629772368513695,0.1610967732962836,3.9092798423432074,0.629772368513695,0.6949192072160149,3.9092798423432074,4.3136755193596805,time_avg,0.7313359580150246,0.1610967732962836,19,0.7760095899348474,medium
20,0.5,0.98,-0.0025737503357231616,0.014723856467753649,0.017984155960349732,-0.004230498717251149,0.0159554282118651,0.01865610044058206,-0.0012720194645226002,0.013756192954523223,0.017438044860949097,-0.0012180555796329623,-0.002199235257341876,tau,22,0.40247032031154023,0.10967194134528829,3.6697656244126575,0.40247032031154023,0.4108256651750643,3.6697656244126575,3.74595051510606,time_avg,0.4449378633814678,0.10967194134528829,22,0.8295606991888229,medium
21,0.52,0.94,-0.0035416041733697056,0.015140498583205044,0.018276782942821125,-0.0019448947937538226,0.015328241062040131,0.017530728432488478,-0.004225908193205084,0.01506003752084715,0.018587356029873766,0.001056627597385288,-0.0002682035411929809,tau,15,0.276896780809424,0.2100296851457668,1.3183697371980987,0.276896780809424,0.26996328874877185,1.3183697371980987,1.2853577748374443,time_avg,0.3519870896761951,0.2100296851457668,15,0.6952391921295864,medium
22,0.74,0.94,-0.005276705373107688,0.00953821800168953,0.013803010978639932,-0.0016731305586290546,0.008769847547227982,0.011128547850227996,-0.006972505285803517,0.009899804097906728,0.014896350093568815,0.0037678022433408186,0.0011299565506787453,tau,16,0.10434001674349357,0.37430596003658884,0.27875595871701914,0.10434001674349357,0.12297618676779899,0.27875595871701914,0.3285445595249884,time_avg,0.12342430858238262,0.37430596003658884,16,0.7726125802968791,medium
23,0.58,0.96,-0.004010923793539405,0.01386127482401207,0.017452959977761594,0.0005776703224650451,0.01816619611123488,0.020669294025289844,-0.007333698843059869,0.010743918029816243,0.014690692072716479,-0.005978601952573366,-0.007422278081418638,tau,21,0.4489477138306255,0.2986049005386757,1.5034840788638604,0.4489477138306255,0.4671629240140134,1.5034840788638604,1.5644851212128912,time_avg,0.508324410180716,0.2986049005386757,21,0.7986057479311044,medium
24,0.7,0.96,-0.00586191141337622,0.01227691677690018,0.016835494349812817,-0.009603428604249429,0.013836825067604272,0.019841411391744165,-0.0037573079935100395,0.011399468363379128,0.014880171991438321,-0.004961239400305843,-0.0024373567042251434,tau,18,0.21000374409103462,0.2545962562740742,0.8248500868173195,0.21000374409103462,0.2235438571278315,0.8248500868173195,0.8780327739273016,time_avg,0.24183304297356684,0.2545962562740742,18,0.7943487006885466,medium
25,0.68,0.98,0.007211198871955276,0.021868477119132878,0.02731696148703156,-0.006943472311832011,0.016894194367341697,0.01947262419974979,0.016647646327813466,0.025184665620326997,0.03147864746125785,0.01200602326150806,0.0082904712529853,tau,20,0.1905649755430956,0.06153147514099945,3.0970324554452127,0.1905649755430956,0.1744403487755379,3.0970324554452127,2.8349775196484015,time_avg,0.2269015028017225,0.06153147514099945,20,0.7330961760209265,medium
26,0.64,0.94,-0.0071756235108478,0.014232048777048477,0.019420609290833,-0.016608704820100684,0.023624653047590982,0.027065318749439994,-0.00273652642414056,0.009811999708557884,0.014488839109526013,-0.012576479639913981,-0.013812653339033098,tau,16,0.7219349777962247,0.20565282354537723,3.510454976257255,0.7219349777962247,0.7973727531809185,3.510454976257255,3.8772759811147375,time_avg,0.8360559424568053,0.20565282354537723,16,0.7992658869966278,medium
27,0.68,0.94,-0.002820905430126004,0.011947234847466461,0.015661838864244795,-0.010103690166336795,0.018709726489355996,0.022245324790164105,0.0012756609839925659,0.008143333298903599,0.0102428012527708,-0.012002523537393305,-0.010566393190452397,tau,18,0.3478297315734039,0.3872814234409457,0.8981317215862858,0.3478297315734039,0.3861764919748199,0.8981317215862858,0.9971469546452587,time_avg,0.4322910210675198,0.3872814234409457,18,0.6947177748252524,medium
28,0.38,0.78,0.006161859012208879,0.028165507740341128,0.036211183320721096,-0.008000495734935005,0.01916627019333343,0.02315023707995058,0.012231439618127686,0.032022323831915854,0.04054045165774012,0.017390214577789536,0.012856053638582426,tau,15,0.2470135773073776,0.0981174611839631,2.5175292381877385,0.2470135773073776,0.22538083055581076,2.5175292381877385,2.2970511857541656,time_avg,0.34143081583494345,0.0981174611839631,15,0.6049513896534182,medium
29,0.78,0.92,-0.005036101113946642,0.010204752207209821,0.015620460876252358,-0.004218181205214932,0.012303729698760434,0.017464617675268544,-0.005581381053101116,0.008805433879509413,0.014259128641517663,-0.003205489033750881,-0.0034982958192510214,tau,20,0.11463290038959126,0.25617608006732534,0.4474769867642003,0.11463290038959126,0.14055606797800957,0.4474769867642003,0.5486697584765533,time_avg,0.14421184336208065,0.25617608006732534,20,0.6581540243979374,medium
