metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6354,0.10609144140501597,0.63,0.48,0.84
pointwise_empirical_90,0.9302000000000001,0.04649274951619615,0.94,0.839,0.98
curve_bias_full,-0.0023421368312449885,0.004469278645853016,-0.0033794094575569033,-0.0069604902209721336,0.007751091680256646
curve_mae_full,0.014386544511426564,0.00420290929783575,0.013910610773600639,0.008241314928265638,0.021941147663164882
curve_rmse_full,0.018994230519802206,0.0047590739059553185,0.018453689409106012,0.012408522028489641,0.027365937810413465
curve_bias_first,-0.004373569884497934,0.0049500455936231326,-0.0038193152400503015,-0.013485523959111777,0.0033960745625760563
curve_mae_first,0.015505267621706233,0.0037726629743262538,0.015798822603618312,0.008752895518773585,0.021008432826034328
curve_rmse_first,0.01944694084427235,0.004238550146272621,0.019574948091722916,0.012007607875602351,0.027079215430365296
curve_bias_second,-0.0012334362856875334,0.007150256626752746,-0.002989378458961512,-0.009436380584872853,0.016470117666241194
curve_mae_second,0.013527698954877251,0.005594087535089485,0.012088132429016695,0.00770339341024829,0.025229461708599153
curve_rmse_second,0.018092964617591224,0.0063566267003282205,0.016859806841779325,0.010813110844608613,0.031503936419097905
second_minus_first_rmse,-0.0013539762266811198,0.006778565568285211,-0.00163441770958918,-0.010396636573391196,0.011204394646294977
second_minus_first_mae,-0.0019775686668289834,0.005563070361379565,-0.002233474825693342,-0.009873434762888964,0.0081525848462736
