metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6259999999999999,0.12274635093014645,0.62,0.438,0.82
pointwise_empirical_90,0.9168000000000001,0.07427603444536665,0.94,0.815,0.98
curve_bias_full,-0.0021241130510785636,0.004953726948330958,-0.0034314054080459757,-0.0066493828646034675,0.008440789128420874
curve_mae_full,0.0148510759573251,0.005922760849893685,0.013845451038846476,0.008140384323751278,0.02692341976682655
curve_rmse_full,0.019770938573800086,0.007125186410659751,0.018486324277476807,0.012747632671637385,0.03507083246373249
curve_bias_first,-0.005006103251973435,0.005093040836909627,-0.0047102624089651116,-0.013232728260724493,0.003506891996632633
curve_mae_first,0.015907186477923937,0.003937918105267296,0.01619766466664666,0.008846525880481666,0.022952259137292413
curve_rmse_first,0.020057370116493202,0.004440032177274585,0.020162600009619724,0.012353649245614353,0.02766046317451734
curve_bias_second,-0.0006383087732088018,0.007642184178862449,-0.0024022838361339553,-0.008297114734785801,0.015344518957642743
curve_mae_second,0.01392033075798908,0.007924848368454423,0.011877358129130499,0.007162981397083388,0.031024547526847655
curve_rmse_second,0.01870994072407201,0.009168293497393435,0.01711417059781524,0.010455347391909715,0.03987609647350563
second_minus_first_rmse,-0.0013474293924211928,0.009076822558745815,-0.0026154368264943917,-0.011546032010158662,0.018356625772491916
second_minus_first_mae,-0.0019868557199348574,0.007601993266541859,-0.0029343464764550655,-0.010468996744882712,0.013417061425078045
