case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,tau_used,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
10,0.62,0.94,-0.0018075321341166272,0.015030293092713691,0.019383421100665425,-0.001051963272470015,0.016477586149617477,0.02046440874733116,-0.0026945042760496067,0.013331296895478812,0.018031935429994497,-0.0024324733173366614,-0.003146289254138665,tau,27,27,0.7889747723977802,0.1551854573827073,5.084076727963413,0.7889747723977802,0.831765988136857,5.084076727963413,5.359819161956748,time_avg,0.8374964213564154,0.1551854573827073,27,0.874050989505828,mild
11,0.52,0.88,-0.0038808349141618236,0.014843920367420651,0.018870652040622698,0.0007503545377403498,0.013241546554490924,0.015366321876885318,-0.005038632277137367,0.015244513820653083,0.01964932374260781,0.00428300186572249,0.0020029672661621596,tau,10,10,0.6428050565965167,0.4142892524820762,1.551585161201658,0.6428050565965167,0.6427554693555433,1.551585161201658,1.5514654688836067,time_avg,0.6474256580029935,0.4142892524820762,10,0.9910788957979958,mild
12,0.54,0.94,-0.004886553802934941,0.014013353589980397,0.019124421369283297,-0.010413183365017176,0.01839622286044889,0.023783690403658894,-0.0017778246742636838,0.01154798962534187,0.015915032113527187,-0.007868658290131707,-0.006848233235107019,tau,18,18,0.5689294842393253,0.2540985352126566,2.2390112708173815,0.5689294842393253,0.5818444486814287,2.2390112708173815,2.2898378701572586,time_avg,0.5994305981110294,0.2540985352126566,18,0.9204945650510318,mild
13,0.44,0.94,-9.170182980597019e-05,0.016675490969792008,0.020673235583357822,-0.006582205425947904,0.015596454869955778,0.019728323885406192,0.006398801766335964,0.01775452706962824,0.02157680642825846,0.0018484825428522686,0.0021580721996724613,tau,25,25,0.3999510867572313,0.15368390653517353,2.6024266025909144,0.3999510867572313,0.40306450777522884,2.6024266025909144,2.622685204081403,time_avg,0.4130429568877796,0.15368390653517353,25,0.9366077067179954,mild
14,0.58,0.9,-0.004213952771387994,0.014401932867476716,0.018048266944971733,-0.010284652571297355,0.01705671138026648,0.019814716715849258,-0.0007991841339389794,0.012908619954032474,0.01697404545578296,-0.002840671260066298,-0.004148091426234006,tau,18,18,0.6913023235522036,0.184024715982677,3.75657323996239,0.6913023235522036,0.7120648996429224,3.75657323996239,3.869398172090927,time_avg,0.7246202710627209,0.184024715982677,18,0.9281564495720863,mild
15,0.64,0.94,-0.0034487625627662053,0.013558930023864378,0.017478543248516,-0.001040763507427817,0.016993676365183837,0.01986123283594797,-0.005340761820532082,0.010860200755684803,0.015349110222827223,-0.004512122613120747,-0.006133475609499034,tau,22,22,0.8866647233605935,0.19389193396296361,4.57298405992464,0.8866647233605935,0.9028039001889456,4.57298405992464,4.656222060074945,time_avg,0.9051074483412495,0.19389193396296361,22,0.9636137814070442,mild
16,0.56,0.86,-0.00711967611379805,0.015225270201190142,0.020843333262771366,-0.005656439578160644,0.019609758225097147,0.023240340802667174,-0.008837388568676744,0.010078262520951483,0.01761812823584352,-0.005622212566823655,-0.009531495704145665,tau,27,27,0.7273824754427184,0.42179631479061813,1.724487507207821,0.7273824754427184,0.7390682251683471,1.724487507207821,1.7521922294063295,time_avg,0.740246937946567,0.42179631479061813,27,0.96222041402558,mild
17,0.86,1.0,-0.0031221593103509804,0.007273314373251196,0.009827596345022713,-0.003982698022313839,0.008563827838357114,0.010720115781978111,-0.0024460217509515913,0.006259339507810832,0.009064891228755735,-0.0016552245532223762,-0.0023044883305462826,tau,22,22,0.29740716391092986,0.40585461416976637,0.7327923683196721,0.29740716391092986,0.3101572261912897,0.7327923683196721,0.7642077122266077,time_avg,0.3123512109611524,0.40585461416976637,22,0.9145647675837318,mild
18,0.62,0.96,-0.0018581745820119976,0.012505880598910153,0.015829668445196652,-0.0005916181701020553,0.01277444545681087,0.015326849378987296,-0.003230277361581102,0.012214935336184377,0.016356955764549735,0.001030106385562439,-0.0005595101206264923,tau,26,26,0.4077904098966,0.2478963552731846,1.6450036526241394,0.4077904098966,0.4164935067485611,1.6450036526241394,1.6801114574257476,time_avg,0.43795130167305996,0.2478963552731846,26,0.8565247072884227,mild
19,0.62,0.98,-0.003471141022746451,0.013058089443366044,0.016837748826281283,-0.0038442864376855524,0.017530873442362798,0.021248503731816876,-0.003242438994235389,0.010316705702045452,0.013436841471776404,-0.007811662260040472,-0.007214167740317346,tau,19,19,0.7112063507714652,0.1610967732962836,4.414777131900954,0.7112063507714652,0.7240621704768533,4.414777131900954,4.4945789767320985,time_avg,0.7313359580150246,0.1610967732962836,19,0.9556057539609084,mild
20,0.5,0.94,0.002892646128311753,0.015331382704898715,0.018918624688614886,-0.004500303565609184,0.01643148782155053,0.019122660987267063,0.008701392316392489,0.014467014398958002,0.018756753464025614,-0.0003659075232414488,-0.0019644734225925282,tau,22,22,0.4418822058539373,0.10967194134528829,4.029127235586419,0.4418822058539373,0.44246166173880097,4.029127235586419,4.034410773725306,time_avg,0.4449378633814678,0.10967194134528829,22,0.9877364195132938,mild
21,0.5,0.94,0.0016146731865592301,0.01603062401758507,0.01985849786975019,-0.002032084840660294,0.014711101648087303,0.01717809440003883,0.003177569483939026,0.016596133604512682,0.020902284888017087,0.0037241904879782572,0.0018850319564253787,tau,15,15,0.3291080910057327,0.2100296851457668,1.566959883681785,0.3291080910057327,0.32454505896883157,1.566959883681785,1.5452342307878417,time_avg,0.3519870896761951,0.2100296851457668,15,0.9071435152777518,mild
22,0.82,1.0,-0.0036775462556397544,0.009957035397528671,0.013610579559387019,-0.0014291012794274138,0.008979772626844351,0.011256842289749061,-0.004735638009151444,0.010416923760203645,0.014587393654776092,0.0033305513650270305,0.0014371511333592935,tau,16,16,0.11952730116429101,0.37430596003658884,0.3193304780736248,0.11952730116429101,0.12332570133551435,0.3193304780736248,0.32947832656327225,time_avg,0.12342430858238262,0.37430596003658884,16,0.9535675481781275,mild
23,0.64,0.96,-0.005303213705774397,0.014004401525016873,0.017474634658333765,-0.0012989870183879421,0.017384056999747242,0.02024837805024819,-0.008202826134571484,0.011557064801936263,0.015152341044948791,-0.0050960370052993975,-0.005826992197810979,tau,21,21,0.4992329265820949,0.2986049005386757,1.6718845728301555,0.4992329265820949,0.5013206603118019,1.6718845728301555,1.678876198640518,time_avg,0.508324410180716,0.2986049005386757,21,0.9691634487586627,mild
24,0.7,0.92,-0.006844521970197093,0.012439679272647481,0.017309219871268298,-0.00964163610802239,0.013507436621390903,0.019658929529016083,-0.005271145267670363,0.011839065763979306,0.015835019975035454,-0.003823909553980629,-0.0016683708574115972,tau,18,18,0.23666504691932494,0.2545962562740742,0.9295700195393046,0.23666504691932494,0.23802492515005394,0.9295700195393046,0.9349113322931932,time_avg,0.24183304297356684,0.2545962562740742,18,0.9666092204131279,mild
25,0.62,0.98,0.011757704056799411,0.02089844170957804,0.026098765727810284,-0.001735775452107191,0.01638938831165433,0.01981378950309062,0.020753357062737145,0.023904477308193842,0.029555345560659894,0.009741556057569274,0.007515088996539514,tau,20,20,0.21735226759783938,0.06153147514099945,3.5323753753632006,0.21735226759783938,0.21285945123742273,3.5323753753632006,3.459358820012929,time_avg,0.2269015028017225,0.06153147514099945,20,0.9298577056125559,mild
26,0.62,0.92,-0.006180250993929803,0.013548330680932849,0.018287715237048686,-0.013301676612172741,0.021934440410404932,0.024785229298711974,-0.0028289918794625383,0.009601926102357753,0.01423862287555086,-0.010546606423161114,-0.012332514308047179,tau,16,16,0.8187499873388135,0.20565282354537723,3.981224148659241,0.8187499873388135,0.8301273367093908,3.981224148659241,4.03654723722392,time_avg,0.8360559424568053,0.20565282354537723,16,0.9695595321979767,mild
27,0.66,0.92,-0.0067030534177320075,0.011982219638885,0.016659453705782253,-0.012274370735718144,0.01870060005846123,0.022796885542544422,-0.003569187426364806,0.00820313065287337,0.011887895709551361,-0.01090898983299306,-0.01049746940558786,tau,18,18,0.40651421018453937,0.3872814234409457,1.0496610102615118,0.40651421018453937,0.41172771852516005,1.0496610102615118,1.0631228187167154,time_avg,0.4322910210675198,0.3872814234409457,18,0.9068306648951514,mild
28,0.56,0.9,0.0018061633547767997,0.019033789611421527,0.025089383381905937,-0.005056736757978797,0.017048515860612193,0.02114674966354971,0.004747406260243484,0.019884621218911238,0.02660079623095106,0.005454046567401349,0.002836105358299045,tau,15,15,0.3062906141160054,0.0981174611839631,3.1216728441610693,0.3062906141160054,0.2973448833636752,3.1216728441610693,3.030499156579023,time_avg,0.34143081583494345,0.0981174611839631,15,0.852970833792051,mild
29,0.8,0.92,-0.005522462870940217,0.010210712909247377,0.015878575899017127,-0.004744638822739944,0.01236216512043029,0.017934281318970197,-0.006041012236407065,0.008776411435125435,0.014345370566240884,-0.0035889107527293136,-0.003585753685304855,tau,20,20,0.13425191712013937,0.25617608006732534,0.5240610953405829,0.13425191712013937,0.14274842341998975,0.5240610953405829,0.5572277606186893,time_avg,0.14421184336208065,0.25617608006732534,20,0.8848924146387624,mild
30,0.54,0.92,-0.000581904361024499,0.01553696813993156,0.01979230362331225,0.0013705226738238707,0.018650344587513246,0.022546818306693403,-0.00150069355389432,0.014071849811657825,0.018353569843323994,-0.004193248463369409,-0.0045784947758554205,tau,16,16,0.42248776386703063,0.26621328445714815,1.5870273518789695,0.42248776386703063,0.4218437747021325,1.5870273518789695,1.5846082796444214,time_avg,0.4688872839710154,0.26621328445714815,16,0.8544754982256438,mild
31,0.4,0.98,-0.0022325750906020403,0.016943363724276423,0.01977352911762818,-0.008737031198841961,0.016044078664363998,0.017612335283914392,0.0017540270402546852,0.017494538438416297,0.020988422276515407,0.0033760869926010156,0.0014504597740522991,tau,19,19,0.3599775381892833,0.14838527838054388,2.4259653121794,0.3599775381892833,0.35819303513608125,2.4259653121794,2.4139391659694938,time_avg,0.3709323607515289,0.14838527838054388,19,0.9523657935560411,mild
32,0.42,0.9,0.010385569329373538,0.024071007394231857,0.0290941218621198,-0.011491456891720493,0.017748090454066792,0.020734806551491954,0.01976143770984241,0.026780828940016883,0.03201535939669179,0.011280552845199836,0.009032738485950091,tau,15,15,0.34986400896332737,0.0777618267850433,4.499174253331972,0.34986400896332737,0.34358939564429025,4.499174253331972,4.418484105241934,time_avg,0.3782914598017678,0.0777618267850433,15,0.8926472089108335,mild
33,0.56,0.92,-0.00492186545568984,0.012811986522865481,0.017278601980016732,-0.006930256902705878,0.016479013685602693,0.02006853535264886,-0.0035829378243458147,0.01036730174770734,0.015135589510798233,-0.004932945841850627,-0.006111711937895354,tau,20,20,0.8203008427704087,0.3475094399093271,2.3605138409605315,0.8203008427704087,0.8733930142178157,2.3605138409605315,2.513292917872111,time_avg,0.8792886080567839,0.3475094399093271,20,0.8881903606584544,mild
34,0.62,0.92,-0.009784072611364537,0.017672628237050958,0.02297853491596045,-0.010706341792010117,0.018791096318401052,0.02287050445514502,-0.008701408790606682,0.01635964396763998,0.023104708766561035,0.00023420431141601625,-0.0024314523507610736,tau,27,27,0.36848068961085756,0.3065617480356771,1.201978694249794,0.36848068961085756,0.3684302424691999,1.201978694249794,1.201814136401397,time_avg,0.37054717281814487,0.3065617480356771,27,0.9878764294319548,mild
35,0.66,0.9,-0.0014127940642356407,0.012253718985739397,0.015357112941686724,-0.0006095729059661212,0.011819271299907046,0.015430605735864819,-0.0020970194953541204,0.012623804051448436,0.015294229422000117,-0.00013637631386470214,0.00080453275154139,tau,23,23,0.4553968015813542,0.26484155916900204,1.7195065721945628,0.4553968015813542,0.4656211116740871,1.7195065721945628,1.7581119562015666,time_avg,0.48641627796217346,0.26484155916900204,23,0.8819047030663679,mild
36,0.64,0.92,-0.0053873581766038115,0.012839891079429434,0.01789456088540261,-0.005601764016319066,0.019419161428231746,0.02382984945023651,-0.005286461310855456,0.009743763856463642,0.014271503761541997,-0.009558345688694514,-0.009675397571768104,tau,16,16,0.6713555568313471,0.31041420465268965,2.1627733098828408,0.6713555568313471,0.6872304609109916,2.1627733098828408,2.213914346090917,time_avg,0.7031782773377269,0.31041420465268965,16,0.9334477188787528,mild
37,0.68,1.0,-0.005666926780540962,0.01204191558965249,0.0155311627952143,-0.007404052165590904,0.014111548344689336,0.01772807881105735,-0.004302042549430293,0.010415775567837824,0.013557530544852597,-0.004170548266204754,-0.003695772776851512,tau,22,22,0.7356415631169443,0.1686178812456674,4.362773139375136,0.7356415631169443,0.749902122612216,4.362773139375136,4.447346373185938,time_avg,0.7540818043272001,0.1686178812456674,22,0.9563323210131683,mild
38,0.64,0.92,0.0002316325914580375,0.013872448449255899,0.017757780886040346,-0.00470816086162813,0.013572120668444161,0.017455061975335476,0.0076413227710872885,0.014322940120473504,0.01820242215056408,0.0007473601752286049,0.0007508194520293426,tau,30,30,0.43638419436308906,0.11407017625384999,3.8255765765800738,0.43638419436308906,0.444937446368689,3.8255765765800738,3.900558945210465,time_avg,0.4525458678863301,0.11407017625384999,30,0.9107180361698685,mild
39,0.62,0.92,-0.004634921739343554,0.01391221552155912,0.018294538350974276,-0.00425124689089981,0.018697445407848467,0.022223195331645577,-0.0049363805488350666,0.010152392039474632,0.01447825664980941,-0.007744938681836167,-0.008545053368373835,tau,22,22,0.5754505697072922,0.3945465818643039,1.4585111014982928,0.5754505697072922,0.5833290459004499,1.4585111014982928,1.4784795324904723,time_avg,0.5933500901384514,0.3945465818643039,22,0.9461305730417982,mild
40,0.68,0.9,-0.006456657162634656,0.0141955497500021,0.018854387979278017,-0.005119002339514819,0.016445991244505753,0.019249913319440915,-0.006833944420437687,0.013560809841295943,0.01874132039295982,-0.0005085929264810954,-0.00288518140320981,tau,11,11,0.42033872643508935,0.42040059676575253,0.9998528300598544,0.42033872643508935,0.4207176941627614,0.9998528300598544,1.000754274374129,time_avg,0.42248815497436476,0.42040059676575253,11,0.9934775032577592,mild
